ts_ms,perp_mark_px,perp_oracle_px,funding_rate,open_interest,perp_premium,perp_day_ntl_vlm,spot_mark_px,spot_day_ntl_vlm,circulating_supply,af_hype_balance,twap_spot_buy_hype,twap_spot_sell_hype,twap_perp_buy_hype,twap_perp_sell_hype,twap_spot_buy_full_hype,twap_spot_sell_full_hype,twap_perp_buy_full_hype,twap_perp_sell_full_hype,twap_active_count,unstake_queue_hype,unstake_maturing_24h,unstake_maturing_72h,book_mid,book_spread_bps,book_bid_depth,book_ask_depth,book_imbalance,book_spot_spread_bps,book_spot_imbalance,total_staked_hype,active_staked_hype,validator_count,af_buy_hype_window,af_buy_usdc_window,af_buy_fills,cex_inflow_hype,cex_outflow_hype,cex_net_flow_hype,cex_net_flow_usdc,cex_total_balance_hype,cex_wallets_polled,holders_count,holder_supply_ex_system,holder_top10_share,holder_top50_share,holder_top100_share,cvd_perp_1h,cvd_perp_4h,cvd_perp_24h,cvd_spot_1h,cvd_spot_4h,cvd_spot_24h,cvd_perp_trades_24h,cvd_spot_trades_24h,lsr_binance_global,lsr_binance_top_pos,lsr_binance_taker,lsr_bybit_account,lsr_okx_account,lsr_okx_top_pos,lsr_okx_taker,lsr_agg_long_frac,cex_oi_binance_hype,cex_oi_bybit_hype,cex_oi_okx_hype,cex_oi_total_hype,cex_liq_long_1h,cex_liq_short_1h,cex_liq_long_24h,cex_liq_short_24h,cex_liq_net_24h,cex_liq_count_24h,hl_liq_long_1h,hl_liq_short_1h,hl_liq_long_24h,hl_liq_short_24h,hl_liq_net_24h,hl_liq_count_24h
1733428800000,,,8.31698e-05,,0.0011653586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733432400000,,,0.000824809,,0.0070984721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733436000000,,,0.0001284614,,0.0015276909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733439600000,,,0.0003193169,,0.0030545355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733443200000,,,0.000116977,,0.0014358163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733446800000,,,4.15653e-05,,0.0008325222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733450400000,,,1.25e-05,,0.0002700145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733454000000,,,2.2129e-06,,-0.0004822968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733457600000,,,1.25e-05,,-0.0002161289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733461200000,,,1.25e-05,,0.0004435483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733464800000,,,3.31208e-05,,0.0007649664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733468400000,,,0.0001718724,,0.0018749794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
